,,conversion,click,cvr,click percentage of total data
376,100276,19,19428,0.0009779699402923615,15.62552780793823
406,100912,1,8809,0.00011352026336701102,7.0848916234366826
4,81679,505,8443,0.05981286272651901,6.790525596171633
300,99760,267,8210,0.03252131546894032,6.603128644388145
391,100348,23,4681,0.004913480025635548,3.7648288896931676
282,98742,140,4141,0.03380825887466796,3.3305183576627657
5,81680,60,4100,0.014634146341463415,3.2975429283789763
141,94663,685,3869,0.1770483329025588,3.1117545341215265
305,100038,8,3530,0.0022662889518413596,2.8391040334579962
281,98741,200,3350,0.05970149253731343,2.6943338561145294
378,100279,1472,2984,0.4932975871313673,2.3999678288494795
405,100798,283,2814,0.10056858564321251,2.2632404391362044
224,98510,1067,2501,0.4266293482606957,2.0115011863111754
302,99824,0,2318,0.0,1.8643181726786504
33,85946,14,1900,0.007368421052631579,1.5281296497365986
280,98694,2,1620,0.0012345679012345679,1.3029315960912053
2,81677,44,1488,0.02956989247311828,1.1967667993726625
295,99755,2,1447,0.00138217000691085,1.163791370088873
32,85945,29,1123,0.025823686553873553,0.9032050508706319
307,100050,157,1095,0.14337899543378996,0.8806852455060923
327,100076,15,1093,0.013723696248856358,0.8790766879800538
301,99823,0,1064,0.0,0.8557526038524953
3,81678,69,990,0.0696969696969697,0.7962359753890699
342,100096,125,973,0.12846865364850976,0.7825632364177424
78,93751,0,842,0.0,0.677202718462219
225,98511,108,840,0.12857142857142856,0.6755941609361804
382,100283,370,833,0.44417767106842737,0.6699642095950457
30,85942,15,740,0.02027027027027027,0.5951662846342543
329,100078,24,719,0.03337969401947149,0.5782764306108498
1,81676,30,699,0.04291845493562232,0.5621908553504645
25,84349,0,696,0.0,0.5597780190614067
401,100721,1,680,0.0014705882352941176,0.5469095588530984
29,84463,0,668,0.0,0.5372582136968673
325,100073,19,655,0.02900763358778626,0.526802589777617
57,93047,0,613,0.0,0.4930228817308079
328,100077,10,603,0.01658374792703151,0.48498009410061527
404,100797,12,579,0.02072538860103627,0.4656774037881529
11,81686,19,560,0.033928571428571426,0.450396107290787
341,100095,69,527,0.13092979127134724,0.42385490811115134
23,84345,0,507,0.0,0.40776933285076605
284,98964,0,504,0.0,0.4053564965617083
388,100292,177,484,0.365702479338843,0.38927092130132307
386,100288,93,475,0.1957894736842105,0.38203241243414965
352,100230,7,447,0.015659955257270694,0.3595126070696103
366,100266,5,417,0.011990407673860911,0.33538424417903245
289,99433,22,412,0.05339805825242718,0.33136285036393615
326,100074,6,402,0.014925373134328358,0.32332006273374353
345,100099,4,379,0.010554089709762533,0.3048216511843005
26,84368,0,367,0.0,0.2951703060280693
354,100254,4,342,0.011695906432748537,0.2750633369525878
0,72414,69,338,0.20414201183431951,0.2718462219005107
6,81681,9,323,0.02786377708978328,0.2597820404552218
290,99434,19,321,0.059190031152647975,0.2581734829291833
34,85947,2,321,0.006230529595015576,0.2581734829291833
286,98967,0,309,0.0,0.2485221377729521
369,100269,4,302,0.013245033112582781,0.24289218643181726
46,90456,57,291,0.1958762886597938,0.2340451200386054
330,100079,8,289,0.02768166089965398,0.23243656251256684
347,100102,3,288,0.010416666666666666,0.23163228374954759
227,98513,38,286,0.13286713286713286,0.23002372622350906
346,100100,5,284,0.017605633802816902,0.22841516869747053
24,84346,0,282,0.0,0.226806611171432
331,100080,2,258,0.007751937984496124,0.2075039208589697
60,93052,0,251,0.0,0.20187396951783487
36,89778,0,238,0.0,0.19141834559858448
283,98865,7,233,0.030042918454935622,0.18739695178348817
139,94437,34,233,0.1459227467811159,0.18739695178348817
