,,conversion,click,cvr,click percentage of total data
1175,www.msn.com,124,17962,0.0069034628660505516,14.446455141351993
931,www.collegescholarships.org,1045,11535,0.0905938448201127,9.277355531427192
312,gotquestion.com,34,6298,0.005398539218799619,5.065347649495315
356,homebidz.co,87,3818,0.022786799371398637,3.0707363172075444
652,searchads.local.com,131,3802,0.03445554971067859,3.057867856999236
964,"www.dg,coupon.com",640,3167,0.2020839911588254,2.5471508424820044
1034,www.forbes.com,67,3015,0.022222222222222223,2.4249004705030766
470,"medicaid,help.org",112,2989,0.03747072599531616,2.4039892226645754
469,"medicaid,guide.org",109,2508,0.04346092503987241,2.01713113765231
388,"inventory,m.autoweb.com",379,2207,0.17172632532850024,1.7750432299835122
315,govgrantsusa.org,138,2202,0.06267029972752043,1.7710218361684158
612,related.homebidz.co,16,1776,0.009009009009009009,1.4283990831222102
1082,www.housinglist.com,13,1712,0.007593457943925234,1.3769252422889773
929,www.collegegrant.net,214,1710,0.12514619883040937,1.3753166847629388
622,results.indiaresults.com,0,1685,0.0,1.3552097156874574
1183,www.nasdaq.com,56,1647,0.03400121432908318,1.3246471226927252
677,simplifyanswer.com,13,1569,0.0082855321861058,1.2619133791772228
31,allfinance411.com,26,1559,0.01667735728030789,1.2538705915470303
389,inventory.autoweb.com,427,1506,0.28353253652058436,1.2112438171070095
1355,www.thestreet.com,47,1488,0.031586021505376344,1.1967667993726625
1253,www.rentdigs.com,0,1421,0.0,1.142880122250372
454,m.nasdaq.com,21,1311,0.016018306636155607,1.054409458318253
166,creditaroma.com,58,1233,0.047039740470397405,0.9916757148027507
638,savingcentric.com,60,1132,0.053003533568904596,0.9104435597378051
189,deal.car.com,223,1089,0.20477502295684114,0.8758595729279768
1276,www.scholarshipsandgrants.us,77,1045,0.07368421052631578,0.8404713073551293
186,"deal,fb.car.com",142,1030,0.1378640776699029,0.8284071259098403
11,247wallst.com,13,1006,0.012922465208747515,0.809104435597378
901,www.cardrewards.net,15,962,0.015592515592515593,0.7737161700245304
701,studentscholarships.org,131,920,0.1423913043478261,0.7399364619777216
1282,www.searchbestcolleges.com,146,920,0.15869565217391304,0.7399364619777216
491,mobilehome.net,0,914,0.0,0.735110789399606
1179,www.myfederalretirement.com,8,896,0.008928571428571428,0.7206337716652591
457,m.scholarships4moms.net,289,890,0.32471910112359553,0.7158080990871436
145,collegetuitioncompare.com,93,884,0.10520361990950226,0.710982426509028
859,www.americanhelpresources.org,40,870,0.04597701149425287,0.6997225238267584
342,healthorigins.com,10,811,0.012330456226880395,0.6522700768086219
376,incrediblesearches.com,17,738,0.023035230352303523,0.5935577271082156
1277,www.scholarshipsforwomen.net,47,699,0.06723891273247497,0.5621908553504645
402,job.myjobhelper.com,247,690,0.35797101449275365,0.5549523464832911
187,"deal,m.car.com",86,630,0.1365079365079365,0.5066956207021354
1254,www.rentlingo.com,1,608,0.001644736842105263,0.4890014879157116
646,scholarshipowl.com,32,582,0.054982817869415807,0.4680902400772108
1422,www3.forbes.com,12,538,0.022304832713754646,0.4327019745043632
1055,www.gocollege.com,34,537,0.0633147113594041,0.43189769574134396
1006,www.everyrent.com,1,485,0.002061855670103093,0.3900752000643423
841,www.50states.com,93,475,0.1957894736842105,0.38203241243414965
258,"fb,m.autoweb.com",42,469,0.08955223880597014,0.3772067398560341
188,"deal,rt.car.com",53,457,0.11597374179431072,0.367555394699803
362,hometipper.com,10,425,0.023529411764705882,0.3418184742831865
737,themilitarywallet.com,10,406,0.024630541871921183,0.3265371777858206
926,www.cnn.com,1,393,0.002544529262086514,0.31608155386657016
