,,conversion,click,cvr,click percentage of total data
586,"comcast,cable,communications,inc.",1122,19109,0.05871578837197132,15.368962882535087
447,"charter,communications",1174,18705,0.06276396685378241,15.044034262275305
185,"att,internet,services",661,10757,0.06144835920795761,8.651626653798207
2405,"t,mobile,usa,inc.",545,8242,0.06612472700800777,6.628865564804761
2786,"verizon,wireless",577,7693,0.07500324970752632,6.187316523907186
186,"att,mobility,llc",494,6482,0.07621104597346498,5.213334941890859
1510,"mci,communications,services,inc.,dba,verizon,business",258,4879,0.052879688460750154,3.9240760847709817
664,"cox,communications,inc.",252,4571,0.055130168453292494,3.6763582257610485
435,"centurytel,internet,holdings,inc.",252,4480,0.05625,3.603168858326296
1046,"google,inc.",90,3816,0.02358490566037736,3.0691277596815056
2294,sprint,242,3713,0.06517640721788312,2.9862870470905216
991,"frontier,communications,of,america,inc.",132,2318,0.056945642795513375,1.8643181726786504
1866,"optimum,online",95,1772,0.0536117381489842,1.4251819680701332
2909,"windstream,communications,inc",67,1232,0.05438311688311688,0.9908714360397314
2367,"suddenlink,communications",74,1146,0.06457242582897033,0.9217034624200747
187,"att,services,inc.",58,1042,0.05566218809980806,0.8380584710660715
1517,"mediacom,communications,corp",47,879,0.053469852104664393,0.7069610326939317
1181,"hughes,network,systems",39,590,0.06610169491525424,0.4745244701813649
2903,"wideopenwest,finance,llc",39,557,0.07001795332136446,0.4479832710017292
1396,"level,3,parent,llc",31,497,0.06237424547283702,0.39972654522057344
356,"cable,one,inc.",26,449,0.05790645879732739,0.36112116459564886
101,"amazon,technologies,inc.",0,441,0.0,0.35468693449149474
2620,"united,states,cellular,telephone,company,lp",36,348,0.10344827586206896,0.27988900953070334
2003,"psinet,inc.",15,339,0.04424778761061947,0.27265050066352997
2794,"viasat,inc.",25,336,0.0744047619047619,0.27023766437447216
2784,"verizon,business",12,336,0.03571428571428571,0.27023766437447216
2416,"tds,telecom",15,313,0.04792332268370607,0.2517392528250291
173,"atlantic,broadband,finance,llc",10,302,0.033112582781456956,0.24289218643181726
996,"fuse,internet,access",16,261,0.06130268199233716,0.2099167571480275
2586,"tw,telecom,holdings,inc.",8,256,0.03125,0.20589536333293118
1573,"midcontinent,communications",6,230,0.02608695652173913,0.1849841154944304
750,"digital,ocean,inc.",10,228,0.043859649122807015,0.18337555796839186
154,"armstrong,cable,services",24,224,0.10714285714285714,0.18015844291631478
901,"fairpoint,communications,inc.",13,218,0.05963302752293578,0.17533277033819922
2267,"southern,new,england,telephone,company,and,snet,america,inc.",2,196,0.01020408163265306,0.15763863755177543
1116,"headquarters,usaisc",3,194,0.015463917525773196,0.15603008002573693
1863,"opera,software,americas,llc",1,189,0.005291005291005291,0.15200868621064062
1928,"penteledata,inc.",1,166,0.006024096385542169,0.13351027466119758
2861,"webhosting,holdings,llc",0,161,0.0,0.12948888084610127
621,"consolidated,communications,inc.",8,161,0.049689440993788817,0.12948888084610127
1045,"google,fiber,inc.",7,159,0.0440251572327044,0.12788032332006274
1672,"navy,network,information,center",2,150,0.013333333333333334,0.12064181445288938
351,"c,spire,fiber",14,149,0.09395973154362416,0.11983753568987011
2044,"rcn,corporation",1,140,0.007142857142857143,0.11259902682269675
191,"aureon,network,services",12,136,0.08823529411764706,0.1093819117706197
1009,"general,communication,inc.",13,135,0.0962962962962963,0.10857763300760044
2354,"static,ip,services",1,129,0.007751937984496124,0.10375196042948485
2289,"spirit,communications",4,125,0.032,0.10053484537740781
1057,"grande,communications,networks,llc",8,108,0.07407407407407407,0.08686210640608036
604,"comporium,inc",7,107,0.06542056074766354,0.08605782764306108
361,"cablevision,systems,corp.",3,107,0.028037383177570093,0.08605782764306108
765,"dod,network,information,center",0,105,0.0,0.08444927011702255
1862,opendns,0,103,0.0,0.08284071259098404
339,"buckeye,cablevision,inc.",1,103,0.009708737864077669,0.08284071259098404
1721,"new,wave,communications",10,100,0.1,0.08042787630192624
2960,"zayo,bandwidth",5,99,0.050505050505050504,0.07962359753890698
1284,"jab,wireless,inc.",0,98,0.0,0.07881931877588771
153,"arm,ltd",45,93,0.4838709677419355,0.0747979249607914
1892,"paetec,communications,inc.",3,88,0.03409090909090909,0.0707765311456951
2198,"shentel,communications,llc",4,87,0.04597701149425287,0.06997225238267583
2843,"wave,broadband",7,87,0.08045977011494253,0.06997225238267583
1112,"hawaiian,telcom,services,company,inc.",8,84,0.09523809523809523,0.06755941609361804
378,"california,state,university,office,of,the,chancellor",3,83,0.03614457831325301,0.06675513733059879
1160,"horry,telephone,cooperative,inc.",5,83,0.060240963855421686,0.06675513733059879
1762,"north,carolina,research,and,education,network",6,78,0.07692307692307693,0.06273374351550247
2739,"university,system,of,georgia",4,78,0.05128205128205128,0.06273374351550247
1537,"merit,network,inc.",5,78,0.0641025641025641,0.06273374351550247
2772,"vanoppen.biz,llc",5,77,0.06493506493506493,0.06192946475248321
1992,"privax,ltd",0,75,0.0,0.06032090722644469
421,"cebridge,connections",9,75,0.12,0.06032090722644469
866,"epb,fiber,optics",1,72,0.013888888888888888,0.057908070937386896
2944,"xspedius,communications,co.",2,71,0.028169014084507043,0.05710379217436763
822,"education,networks,of,america",3,70,0.04285714285714286,0.056299513411348374
2851,"wayport,inc.",4,61,0.06557377049180328,0.049061004544175016
129,"ans,communications,inc",3,60,0.05,0.048256725781155745
2432,"telepacific,communications",0,59,0.0,0.04745244701813649
58,"airstream,communications,llc",8,58,0.13793103448275862,0.04664816825511722
1205,"illinois,century,network",2,58,0.034482758620689655,0.04664816825511722
2024,"qwest,communications,company,llc",4,57,0.07017543859649122,0.045843889492097965
930,"fidelity,communication,international,inc.",4,56,0.07142857142857142,0.045039610729078694
