,,conversion,click,cvr,click percentage of total data
6,"google,chrome",4521,61376,0.07366071428571429,49.36341335907025
15,safari,1335,25944,0.05145698427382054,20.866208227771747
5,edge,796,16964,0.046922895543503894,13.643784935858768
8,"internet,explorer",176,11315,0.015554573574900574,9.100414203562956
10,"mozilla,firefox",170,3600,0.04722222222222222,2.895403546869345
2,applewebkit,213,3413,0.062408438324055085,2.745003418184743
16,silk,89,1356,0.06563421828908554,1.0906020026541199
14,"opera,mini",1,206,0.0048543689320388345,0.16568142518196807
0,"android,browser",0,78,0.0,0.06273374351550247
4,chromium,0,23,0.0,0.018498411549443036
18,unknown,0,17,0.0,0.013672738971327463
11,"mozilla,like,unknown",0,10,0.0,0.008042787630192625
12,nokia,0,10,0.0,0.008042787630192625
13,opera,0,7,0.0,0.005629951341134837
7,"ie,mobile",0,7,0.0,0.005629951341134837
9,maxthon,0,4,0.0,0.0032171150520770497
3,"blackberry,browser",0,2,0.0,0.0016085575260385248
17,ucbrowser,0,2,0.0,0.0016085575260385248
1,"android,httpurlconnection",0,1,0.0,0.0008042787630192624
