,,conversion,click,cvr,click percentage of total data
3,1387,22,30042,0.0007323081019905465,24.162142598624683
5,1458,800,21280,0.03759398496240601,17.115052077049906
16,1637,334,13763,0.024267964833248563,11.06928861543411
12,1608,195,10848,0.01797566371681416,8.724816021232959
13,1619,340,7491,0.04538779869176345,6.0248522137772955
17,1640,10,5422,0.0018443378827001106,4.360799453090442
11,1581,2286,5397,0.4235686492495831,4.340692484014959
6,1461,1412,4666,0.30261465923703385,3.7527647082478786
2,1375,0,4468,0.0,3.593517513170065
9,1518,685,3869,0.1770483329025588,3.1117545341215265
4,1454,0,3199,0.0,2.572887762898621
1,1352,354,3192,0.11090225563909774,2.567257811557486
7,1492,576,2985,0.192964824120603,2.4007721076124984
10,1521,73,2000,0.0365,1.608557526038525
8,1517,0,1890,0.0,1.520086862106406
18,1641,194,1500,0.12933333333333333,1.2064181445288937
14,1630,0,1478,0.0,1.1887240117424698
15,1633,13,593,0.021922428330522766,0.47693730647042265
0,1351,7,252,0.027777777777777776,0.20267824828085415
