,,conversion,click,cvr,click percentage of total data
53,0.0012460000000000001,16,2783,0.005749191519942508,2.2383077974826073
13376,0.15,222,1130,0.19646017699115045,0.9088350022117666
6987,0.1,2,1014,0.0019723865877712033,0.8155386657015321
1750,0.047059,4,657,0.0060882800608828,0.5284111473036555
59405,1.33,4,585,0.006837606837606838,0.4705030763662686
46125,0.702434,2,455,0.004395604395604396,0.3659468371737644
47444,0.75,18,389,0.04627249357326478,0.3128644388144931
64452,1.55,9,363,0.024793388429752067,0.29195319097599226
4298,0.071724,0,322,0.0,0.25897776169220255
74,0.001744,67,321,0.2087227414330218,0.2581734829291833
48998,0.817869,1,310,0.0032258064516129032,0.24932641653597135
10248,0.127349,0,254,0.0,0.20428680580689265
6172,0.09148099999999999,0,226,0.0,0.1817670004423533
81252,2.95,2,180,0.011111111111111112,0.14477017734346725
6931,0.099393,0,177,0.0,0.14235734105440948
10058,0.12596500000000002,0,170,0.0,0.1367273897132746
51075,0.9242809999999999,0,159,0.0,0.12788032332006274
3983,0.068611,0,151,0.0,0.12144609321590863
67979,1.740939,0,149,0.0,0.11983753568987011
12822,0.145716,0,142,0.0,0.11420758434873526
5286,0.08055599999999999,0,141,0.0,0.113403305585716
43981,0.6387689999999999,0,133,0.0,0.10696907548156191
9597,0.12209500000000001,0,118,0.0,0.09490489403627297
44099,0.6420279999999999,0,114,0.0,0.09168777898419593
65571,1.610377,0,110,0.0,0.08847066393211887
5618,0.084398,0,104,0.0,0.0836449913540033
8784,0.114899,0,103,0.0,0.08284071259098404
3931,0.068021,0,99,0.0,0.07962359753890698
32,0.000997,46,99,0.46464646464646464,0.07962359753890698
13101,0.147875,0,97,0.0,0.07801504001286846
68105,1.748361,0,92,0.0,0.07399364619777214
52423,1.0,1,87,0.011494252873563218,0.06997225238267583
49197,0.826941,0,85,0.0,0.0683636948566373
48747,0.80437,1,84,0.011904761904761904,0.06755941609361804
40458,0.56,1,83,0.012048192771084338,0.06675513733059879
49623,0.847582,0,82,0.0,0.06595085856757953
49577,0.8449209999999999,0,80,0.0,0.064342301041541
32421,0.4,0,75,0.0,0.06032090722644469
49456,0.83911,0,75,0.0,0.06032090722644469
48015,0.7717729999999999,0,73,0.0,0.05871234970040617
74899,2.22,5,73,0.0684931506849315,0.05871234970040617
87199,5.439,2,72,0.027777777777777776,0.057908070937386896
73994,2.1375,1,72,0.013888888888888888,0.057908070937386896
48270,0.782349,0,70,0.0,0.056299513411348374
22,0.000936,0,70,0.0,0.056299513411348374
50044,0.8696209999999999,0,70,0.0,0.056299513411348374
38651,0.522525,3,69,0.043478260869565216,0.05549523464832911
9373,0.12,0,66,0.0,0.05308239835927133
50968,0.9184049999999999,0,65,0.0,0.05227811959625206
43651,0.63,0,65,0.0,0.05227811959625206
48221,0.7800520000000001,1,64,0.015625,0.051473840833232795
