,,conversion,click,cvr,click percentage of total data
136,87310,19,19428,0.0009779699402923615,15.62552780793823
1,73823,717,16043,0.044692389204014214,12.903044195118026
147,87340,1,8809,0.00011352026336701102,7.0848916234366826
104,87266,269,8276,0.03250362493958434,6.656211042747416
139,87313,23,4681,0.004913480025635548,3.7648288896931676
7,74235,60,4164,0.01440922190201729,3.349016769212209
97,87177,140,4141,0.03380825887466796,3.3305183576627657
45,86975,685,3869,0.1770483329025588,3.1117545341215265
106,87272,8,3575,0.0022377622377622378,2.875296577793863
105,87269,0,3382,0.0,2.720070776531146
96,87176,200,3350,0.05970149253731343,2.6943338561145294
138,87312,1479,3008,0.49168882978723405,2.4192705191619415
146,87339,283,2814,0.10056858564321251,2.2632404391362044
76,87151,1067,2501,0.4266293482606957,2.0115011863111754
137,87311,799,2229,0.3584567070435173,1.7927373627699361
103,87265,2,1847,0.0010828370330265296,1.4855028752965778
111,87278,25,1696,0.01474056603773585,1.364056782080669
107,87274,276,1636,0.1687041564792176,1.3158000562995134
95,87174,2,1620,0.0012345679012345679,1.3029315960912053
77,87152,174,1456,0.11950549450549451,1.171029878956046
4,73975,0,1370,0.0,1.1018619053363896
3,73973,0,1347,0.0,1.0833634937869465
2,73824,23,1073,0.021435228331780055,0.8629911127196686
110,87277,25,1057,0.023651844843897825,0.8501226525113604
9,84572,260,1021,0.2546523016650343,0.8211686170426671
112,87279,32,1008,0.031746031746031744,0.8107129931234166
119,87286,125,973,0.12846865364850976,0.7825632364177424
12,86499,0,914,0.0,0.735110789399606
15,86781,0,883,0.0,0.7101781477460087
99,87204,0,705,0.0,0.56701652792858
144,87325,1,681,0.0014684287812041115,0.5477138376161177
121,87288,9,663,0.013574660633484163,0.5332368198817711
124,87298,11,601,0.018302828618968387,0.48337153657457677
145,87338,12,579,0.02072538860103627,0.4656774037881529
131,87305,7,577,0.012131715771230503,0.4640688462621144
125,87299,6,554,0.010830324909747292,0.44557043471267144
118,87285,69,527,0.13092979127134724,0.42385490811115134
101,87259,23,485,0.04742268041237113,0.3900752000643423
132,87306,6,477,0.012578616352201259,0.3836409699601882
122,87290,3,451,0.0066518847006651885,0.36272972212168736
100,87206,0,381,0.0,0.306430208710339
0,70972,71,378,0.18783068783068782,0.30401737242128124
113,87280,2,370,0.005405405405405406,0.2975831423171271
116,87283,2,365,0.005479452054794521,0.2935617485020308
114,87281,4,353,0.0113314447592068,0.28391040334579964
8,84571,40,328,0.12195121951219512,0.2638034342703181
102,87260,19,321,0.059190031152647975,0.2581734829291833
123,87291,0,294,0.0,0.23645795632766317
5,73977,0,289,0.0,0.23243656251256684
16,86831,110,280,0.39285714285714285,0.2251980536453935
141,87322,2,279,0.007168458781362007,0.22439377488237422
134,87308,3,277,0.010830324909747292,0.22278521735633572
115,87282,13,272,0.04779411764705882,0.2187638235412394
130,87304,8,263,0.030418250950570342,0.21152531467406605
43,86866,23,244,0.0942622950819672,0.19624401817670006
44,86893,36,241,0.14937759336099585,0.19383118188764226
98,87187,7,233,0.030042918454935622,0.18739695178348817
6,73982,0,193,0.0,0.15522580126271765
68,87061,0,185,0.0,0.14879157115856356
142,87323,2,171,0.011695906432748537,0.1375316684762939
133,87307,3,166,0.018072289156626505,0.13351027466119758
