,,conversion,click,cvr,click percentage of total data
13,200.0,27,23003,0.001173759944355084,18.500824385732095
4,21.5,177,10316,0.017157813105854982,8.296939719306712
5,23.0,308,9067,0.033969339362523436,7.292395544295653
10,50.0,363,8564,0.04238673517048108,6.887843326496963
2,10.0,42,5002,0.008396641343462616,4.023002372622351
0,1.5,300,2891,0.10377032168799723,2.3251699038886877
11,150.0,2,1620,0.0012345679012345679,1.3029315960912053
9,40.0,194,1500,0.12933333333333333,1.2064181445288937
12,175.0,0,378,0.0,0.30401737242128124
1,1.75,54,301,0.17940199335548174,0.242087907668798
8,35.0,7,233,0.030042918454935622,0.18739695178348817
3,17.5,1,126,0.007936507936507936,0.10133912414042708
6,31.0,1,79,0.012658227848101266,0.06353802227852173
7,33.0,0,21,0.0,0.01688985402340451
