,,conversion,click,cvr,click percentage of total data
716,150191,19,19428,0.0009779699402923615,15.62552780793823
783,150992,1,8809,0.00011352026336701102,7.0848916234366826
642,149621,267,8210,0.03252131546894032,6.603128644388145
21,89260,375,6297,0.05955216769890424,5.064543370732296
742,150369,23,4681,0.004913480025635548,3.7648288896931676
602,147877,140,4141,0.03380825887466796,3.3305183576627657
65,128652,50,3597,0.013900472616068946,2.8929907105802872
647,149948,8,3530,0.0022662889518413596,2.8391040334579962
767,150814,283,2814,0.10056858564321251,2.2632404391362044
756,150685,1354,2734,0.4952450621799561,2.1988981380946635
644,149683,0,2318,0.0,1.8643181726786504
600,147875,126,2217,0.056833558863328824,1.7830860176137049
477,147396,934,2197,0.4251251706873009,1.7670004423533197
298,138154,348,2034,0.1710914454277286,1.63590300398118
299,138155,337,1835,0.18365122615803814,1.4758515301403465
599,147825,2,1620,0.0012345679012345679,1.3029315960912053
70,128658,12,1571,0.0076384468491406746,1.2635219367032613
101,128697,36,1138,0.03163444639718805,0.9152692323159206
601,147876,74,1133,0.06531332744924978,0.9112478385008245
656,149963,157,1095,0.14337899543378996,0.8806852455060923
669,149978,15,1093,0.013723696248856358,0.8790766879800538
643,149682,0,1064,0.0,0.8557526038524953
758,150710,125,973,0.12846865364850976,0.7825632364177424
724,150200,370,833,0.44417767106842737,0.6699642095950457
5,89240,55,810,0.06790123456790123,0.6514657980456027
672,149983,24,719,0.03337969401947149,0.5782764306108498
151,134964,0,696,0.0,0.5597780190614067
630,149605,0,689,0.0,0.5541480677202718
198,135851,0,681,0.0,0.5477138376161177
751,150668,1,680,0.0014705882352941176,0.5469095588530984
668,149976,19,655,0.02900763358778626,0.526802589777617
670,149979,10,603,0.01658374792703151,0.48498009410061527
67,128654,10,593,0.016863406408094434,0.47693730647042265
2,89237,22,591,0.03722504230118443,0.47532874894438415
759,150711,69,527,0.13092979127134724,0.42385490811115134
481,147403,68,523,0.13001912045889102,0.4206377930590742
606,148302,0,504,0.0,0.4053564965617083
102,128698,41,502,0.08167330677290836,0.40374793903566975
86,128675,15,501,0.029940119760479042,0.4029436602726505
159,135662,0,483,0.0,0.38846664253830376
51,126407,0,479,0.0,0.3852495274862267
735,150215,162,450,0.36,0.3619254433586681
692,150129,7,447,0.015659955257270694,0.3595126070696103
730,150208,88,428,0.205607476635514,0.3442313105722443
48,125571,0,418,0.0,0.3361885229420517
707,150181,5,417,0.011990407673860911,0.33538424417903245
612,149357,22,412,0.05339805825242718,0.33136285036393615
667,149975,6,402,0.014925373134328358,0.32332006273374353
685,150001,4,379,0.010554089709762533,0.3048216511843005
628,149603,1,369,0.0027100271002710027,0.2967788635541078
43,96415,9,342,0.02631578947368421,0.2750633369525878
694,150168,4,342,0.011695906432748537,0.2750633369525878
42,96414,7,335,0.020895522388059702,0.2694333856114529
22,89261,5,323,0.015479876160990712,0.2597820404552218
28,89267,7,311,0.022508038585209004,0.2501306952989906
609,148305,0,309,0.0,0.2485221377729521
80,128669,9,308,0.02922077922077922,0.24771785900993284
708,150182,4,302,0.013245033112582781,0.24289218643181726
0,77008,62,297,0.20875420875420875,0.23887079261672098
75,128663,16,292,0.0547945205479452,0.23484939880162467
671,149982,8,289,0.02768166089965398,0.23243656251256684
688,150005,3,288,0.010416666666666666,0.23163228374954759
686,150002,5,284,0.017605633802816902,0.22841516869747053
71,128659,2,274,0.0072992700729927005,0.2203723810672779
674,149985,2,258,0.007751937984496124,0.2075039208589697
64,128651,14,252,0.05555555555555555,0.20267824828085415
741,150368,15,252,0.05952380952380952,0.20267824828085415
757,150686,118,250,0.472,0.20106969075481562
768,150883,0,250,0.0,0.20106969075481562
10,89247,12,249,0.04819277108433735,0.20026541199179634
58,126414,0,239,0.0,0.19222262436160373
744,150656,2,230,0.008695652173913044,0.1849841154944304
66,128653,7,227,0.030837004405286344,0.18257127920537258
680,149991,0,224,0.0,0.18015844291631478
713,150187,2,214,0.009345794392523364,0.17211565528612216
695,150169,2,212,0.009433962264150943,0.17050709776008363
627,149602,1,209,0.004784688995215311,0.16809426147102585
607,148303,0,201,0.0,0.16166003136687176
103,128699,19,199,0.09547738693467336,0.16005147384083324
430,146945,16,193,0.08290155440414508,0.15522580126271765
480,147402,22,184,0.11956521739130435,0.14798729239554428
476,147395,72,179,0.4022346368715084,0.14396589858044798
675,149986,3,177,0.01694915254237288,0.14235734105440948
116,129040,40,177,0.22598870056497175,0.14235734105440948
676,149987,1,176,0.005681818181818182,0.1415530622913902
709,150183,2,175,0.011428571428571429,0.14074878352837095
167,135680,0,175,0.0,0.14074878352837095
