,,conversion,click,cvr,click percentage of total data
316,"average,retirement,savings,by,age",1,5945,0.0001682085786375105,4.781437246149515
2037,"psoriasis,of,the,scalp",10,4519,0.002212878955521133,3.634535730084047
286,"apply,for,free,grants",180,3252,0.055350553505535055,2.6155145373386417
798,"check,your,medicaid,eligibility",76,2286,0.033245844269466314,1.8385812522620342
2529,"toyota,tacoma",922,2203,0.41852019972764415,1.7718261149314352
1085,"find,houses,for,rent",5,1920,0.0026041666666666665,1.5442152249969838
1890,"no,essay,scholarships",75,1896,0.03955696202531646,1.5249125346845216
1011,"easy,grants,for,women",449,1722,0.2607433217189315,1.38496802991917
1243,"grants,for,women",523,1705,0.30674486803519063,1.3712952909478426
245,"all,coupons",293,1536,0.19075520833333334,1.2353721799975872
1145,"free,money,from,the,government",43,1461,0.02943189596167009,1.1750512727711426
1925,"online,medicaid,applications",78,1397,0.05583392984967788,1.1235774319379097
294,"apply,for,scholarships",29,1381,0.020999275887038378,1.1107089717296015
2079,"rent,to,own,homes",40,1288,0.031055900621118012,1.0359110467688102
454,"best,dividend,stocks,to,buy",46,1184,0.03885135135135135,0.9522660554148068
1133,"free,grant,money",57,1174,0.048551959114139696,0.9442232677846142
1158,"free,scholarships,and,grants",48,1150,0.04173913043478261,0.9249205774721517
962,"digital,coupons",259,1132,0.22879858657243815,0.9104435597378051
292,"apply,for,housing",45,1023,0.04398826979472141,0.8227771745687056
1654,"medicare,part,b,cost,for,2019",16,1007,0.015888778550148957,0.8099087143603974
2082,"rent,to,own,listings",22,1000,0.022,0.8042787630192625
2337,"tax,credits,for,seniors",1,941,0.0010626992561105207,0.7568263160011259
1797,"new,nissan,frontier",109,866,0.1258660508083141,0.6965054087746814
449,"best,dividend,paying,stocks",43,852,0.05046948356807512,0.6852455060924116
1953,"payroll,tax,calculator",0,811,0.0,0.6522700768086219
760,"cheap,health,insurances",0,800,0.0,0.64342301041541
159,"5,dividend,stocks,to,buy",33,784,0.042091836734693876,0.6305545502071017
418,"best,credit,cards,of,2018",14,776,0.01804123711340206,0.6241203201029477
2521,"toyota,rav4",6,751,0.007989347536617843,0.6040133510274661
1174,"general,medicaid,requirements",13,747,0.01740294511378849,0.6007962359753891
509,"best,investments,for,beginners",6,725,0.008275862068965517,0.5831021031889653
1061,"federal,grants,for,women",216,722,0.29916897506925205,0.5806892668999075
313,"average,retirement,income",0,715,0.0,0.5750593155587727
2378,"top,10,dividend,stocks",18,706,0.025495750708215296,0.5678208066915993
2507,"toyota,4runner",2,690,0.002898550724637681,0.5549523464832911
1720,"mobile,house,for,rent",0,683,0.0,0.5493223951421562
1564,"low,income,homes,for,rent",1,657,0.0015220700152207,0.5284111473036555
763,"cheap,homes,for,sale",2,653,0.0030627871362940277,0.5251940322515785
844,"cna,training,classes",296,652,0.4539877300613497,0.5243897534885591
498,"best,highlights,for,gray,hair",0,638,0.0,0.5131298508062895
1238,"grants,for,single,mothers",110,637,0.1726844583987441,0.5123255720432702
766,"cheap,houses,for,sale",13,636,0.020440251572327043,0.511521293280251
2198,"scholarships,for,older,women",74,621,0.11916264090177134,0.499457111834962
1519,"latest,samsung,phones",0,605,0.0,0.4865886516266538
764,"cheap,house,rentals",7,592,0.011824324324324325,0.4761330277074034
1130,"free,government,grants",33,589,0.05602716468590832,0.47372019141834565
2652,"your,online,survey",0,569,0.0,0.4576346161579603
1565,"low,income,housing",1,567,0.001763668430335097,0.4560260586319218
1391,"houses,for,rent",6,559,0.01073345259391771,0.4495918285277677
970,"discounts,and,coupons",93,529,0.17580340264650285,0.4254634656371899
865,"college,grants,for,women",98,524,0.18702290076335878,0.4214420718220935
1849,"nissan,frontier",98,508,0.19291338582677164,0.4085736116137853
1368,"honda,civic",0,507,0.0,0.40776933285076605
1540,"list,of,medicaid,benefits",13,505,0.02574257425742574,0.40616077532472755
670,"black,sheer,dress",0,500,0.0,0.40213938150963124
285,"apply,for,free,grant",38,488,0.0778688524590164,0.3924880363534001
2423,"top,5,dividend,stocks,to,buy",31,476,0.06512605042016807,0.38283669119716895
1470,"international,student,health,insurance",0,473,0.0,0.38042385490811115
906,"credit,card,offers",19,448,0.04241071428571429,0.36031688583262955
1954,"pell,grant,application",13,444,0.02927927927927928,0.35709977078055255
1567,"low,income,rent,to,own,homes",6,435,0.013793103448275862,0.3498612619133792
88,"2018,income,tax,charts",0,427,0.0,0.34342703180922507
2584,"used,mobile,homes,for,sale",0,406,0.0,0.3265371777858206
269,"apartments,under,,400",1,405,0.0024691358024691358,0.32573289902280134
714,"cash,rewards,credit,cards",6,399,0.015037593984962405,0.3209072264446857
1369,"honda,cr,v",17,399,0.042606516290726815,0.3209072264446857
1594,"mastercard,credit,card",6,396,0.015151515151515152,0.3184943901556279
106,"2018,tax,deductions",0,395,0.0,0.31769011139260867
1242,"grants,for,veterans",8,390,0.020512820512820513,0.31366871757751236
360,"best,buffet,restaurant",0,390,0.0,0.31366871757751236
35,"10,best,health,insurance,plans",3,378,0.007936507936507936,0.30401737242128124
2250,"single,family,homes",3,374,0.008021390374331552,0.3008002573692042
1370,"honda,odyssey",0,367,0.0,0.2951703060280693
1234,"grants,for,online,schools",34,362,0.09392265193370165,0.291148912212973
708,"cash,back,credit,cards",14,360,0.03888888888888889,0.2895403546869345
1275,"health,insurance,for,individuals",8,355,0.022535211267605635,0.2855189608718382
1870,"nissan,rogue",70,353,0.19830028328611898,0.28391040334579964
1558,"low,cost,health,insurance",1,349,0.0028653295128939827,0.28069328829372264
1359,"homes,for,rent",1,347,0.002881844380403458,0.2790847307676841
1333,"highest,paying,dividend,stocks",6,346,0.017341040462427744,0.27828045200466484
79,"2018,average,retirement,income",0,344,0.0,0.2766718944786263
1159,"free,scholarships,for,girls",25,335,0.07462686567164178,0.2694333856114529
1542,"list,of,scholarships,2019",4,332,0.012048192771084338,0.26702054932239516
1616,"medical,billing,training",144,331,0.4350453172205438,0.26621627055937586
272,"application,for,free,grants",24,321,0.07476635514018691,0.2581734829291833
573,"best,prepaid,cell,phones",4,315,0.012698412698412698,0.2533478103510677
2379,"top,10,dividend,stocks,to,buy,now",12,311,0.03858520900321544,0.2501306952989906
516,"best,jobs,for,retirees",0,307,0.0,0.24691358024691357
1535,"left,handed,scholarships",22,305,0.07213114754098361,0.24530502272087507
1569,"low,interest,credit,cards",10,302,0.033112582781456956,0.24289218643181726
492,"best,health,plans,2018",3,301,0.009966777408637873,0.242087907668798
2268,"social,security,benefits",0,300,0.0,0.24128362890577876
1823,"new,toyota,tacoma",145,298,0.4865771812080537,0.23967507137974023
1433,"how,to,lose,abdominal,fat",0,295,0.0,0.23726223509068245
2117,"retirement,planning,advice",0,291,0.0,0.2340451200386054
1148,"free,online,certification,courses",6,290,0.020689655172413793,0.23324084127558614
2081,"rent,to,own,houses",5,288,0.017361111111111112,0.23163228374954759
2078,"rent,to,own,home,listings",7,276,0.025362318840579712,0.22198093859331644
2259,"small,business,startup,ideas",0,272,0.0,0.2187638235412394
2017,"prescription,drug,plans",1,269,0.0037174721189591076,0.2163509872521816
1585,"make,online,payments",0,262,0.0,0.21072103591104674
2221,"senior,discount,cell,phone,plans",21,259,0.08108108108108109,0.20830819962198896
1393,"houses,for,sale",1,259,0.003861003861003861,0.20830819962198896
281,"apply,for,credit,card,online",3,251,0.01195219123505976,0.20187396951783487
447,"best,dividend,income,funds",11,249,0.04417670682730924,0.20026541199179634
289,"apply,for,grants",32,246,0.13008130081300814,0.19785257570273856
1572,"low,rise,jeans",0,246,0.0,0.19785257570273856
1489,"jim,cramer,stocks,to,buy",0,241,0.0,0.19383118188764226
2428,"top,5,medicare,plans",5,240,0.020833333333333332,0.19302690312462298
984,"dividend,stocks,to,buy,now",11,240,0.04583333333333333,0.19302690312462298
2077,"rent,to,buy,homes",4,239,0.016736401673640166,0.19222262436160373
1108,"ford,fusion",0,238,0.0,0.19141834559858448
1131,"free,government,land",0,236,0.0,0.18980978807254595
1778,"new,ford,ranger,prices",27,235,0.1148936170212766,0.18900550930952667
1989,"platinum,credit,cards",1,231,0.004329004329004329,0.18578839425744964
1366,"homes,under,,300k",1,230,0.004347826086956522,0.1849841154944304
1884,"no,contract,cell,phone",2,228,0.008771929824561403,0.18337555796839186
1584,"make,money,online,instantly",2,228,0.008771929824561403,0.18337555796839186
533,"best,medicare,plans,for,seniors",11,227,0.048458149779735685,0.18257127920537258
1134,"free,grants,for,college,students",19,226,0.084070796460177,0.1817670004423533
1449,"how,to,treat,scalp,psoriasis",0,226,0.0,0.1817670004423533
1331,"highest,dividend,stocks",17,224,0.07589285714285714,0.18015844291631478
2635,"weekly,ad,specials",5,224,0.022321428571428572,0.18015844291631478
277,"apply,for,a,pell,grant",100,212,0.4716981132075472,0.17050709776008363
1568,"low,income,student,grants",2,212,0.009433962264150943,0.17050709776008363
765,"cheap,houses,for,rent",0,209,0.0,0.16809426147102585
1541,"list,of,scholarships",5,209,0.023923444976076555,0.16809426147102585
503,"best,income,investments",6,208,0.028846153846153848,0.1672899827080066
1207,"grants,for,college,students",8,208,0.038461538461538464,0.1672899827080066
