,,conversion,click,cvr,click percentage of total data
357,missing,507,19288,0.026285773537951057,15.512928781115534
176,"finance,grants,,scholarships,,,financial,aid,government,grants",1676,11724,0.14295462299556466,9.429364217637834
190,"finance,investing,stocks,,,bonds",270,7934,0.03403075371817494,6.381147705794829
174,"finance,financial,planning,,,management,retirement,,,pension",1,7539,0.00013264358668258389,6.0634575944022195
383,"real,estate,real,estate,listings",114,7027,0.016223139319766613,5.651666867736357
379,"real,estate,apartments,,,residential,rentals",29,6196,0.004680438992898645,4.98331121566735
175,"finance,grants,,scholarships,,,financial,aid",435,6175,0.07044534412955465,4.966421361643946
166,"finance,credit,,,lending,credit,cards",187,5778,0.03236413984077535,4.647122692725299
177,"finance,grants,,scholarships,,,financial,aid,study,grants,,,scholarships",345,5464,0.06314055636896047,4.39457916113725
246,"health,health,conditions,skin,conditions",9,4878,0.0018450184501845018,3.9232718060079623
428,"shopping,consumer,resources,coupons,,,discount,offers",671,3909,0.17165515477104118,3.1439256846422974
42,"autos,,,vehicles,vehicle,brands,nissan",512,2945,0.1738539898132428,2.368600957091728
55,"autos,,,vehicles,vehicle,shopping,vehicle,specs,,reviews,,,comparisons",1093,2875,0.38017391304347825,2.3123014436803797
179,"finance,insurance,health,insurance",106,2478,0.042776432606941084,1.9930027747617325
162,"finance,accounting,,,auditing,tax,preparation,,,planning",2,2001,0.0009995002498750624,1.6093618048015443
45,"autos,,,vehicles,vehicle,brands,toyota",116,1890,0.061375661375661375,1.520086862106406
173,"finance,financial,planning,,,management",42,1706,0.0246189917936694,1.3720995697108618
398,"reference,general,reference,forms,guides,,,templates",76,1420,0.05352112676056338,1.1420758434873528
37,"autos,,,vehicles,vehicle,brands,honda",21,1372,0.015306122448979591,1.1034704628624281
178,"finance,insurance",0,1294,0.0,1.0407367193469257
181,"finance,investing",10,1105,0.00904977375565611,0.8887280331362851
373,"people,,,society,social,issues,,,advocacy,housing,,,development",46,1075,0.04279069767441861,0.8645996702457072
344,"jobs,,,education,education,distance,learning",118,1055,0.11184834123222749,0.8485140949853219
188,"finance,investing,funds,mutual,funds",31,957,0.03239289446185998,0.7696947762094342
346,"jobs,,,education,education,training,,,certification",387,852,0.45422535211267606,0.6852455060924116
67,"beauty,,,fitness,hair,care",0,619,0.0,0.49784855430892344
172,"finance,credit,,,lending,loans,student,loans,,,college,financing",40,612,0.06535947712418301,0.49221860296778863
424,"shopping,apparel,women,s,clothing,dresses",0,573,0.0,0.46085173121003736
75,"business,,,industrial,business,operations,human,resources,payroll,services",0,571,0.0,0.45924317368399886
163,"finance,banking,money,transfer,,,wire,services",2,553,0.003616636528028933,0.44476615594965213
151,"computers,internet,searching,search,engines,google",0,546,0.0,0.4391362046085173
78,"business,,,industrial,small,business",1,533,0.001876172607879925,0.42868058068926695
334,"internet,,,telecom,mobile,,,wireless",54,519,0.10404624277456648,0.41742067800699717
186,"finance,investing,funds,exchange,traded,funds",12,459,0.026143790849673203,0.3691639522258415
275,"health,public,health,health,policy",2,432,0.004629629629629629,0.34744842562432143
212,"food,,,drink,restaurants,dining,guides",0,428,0.0,0.3442313105722443
348,"jobs,,,education,jobs,job,listings",68,357,0.19047619047619047,0.2871275183978767
194,"food,,,drink,cooking,,,recipes",0,348,0.0,0.27988900953070334
250,"health,medical,facilities,,,services,medical,procedures",156,348,0.4482758620689655,0.27988900953070334
69,"beauty,,,fitness,weight,loss",0,317,0.0,0.2549563678771062
36,"autos,,,vehicles,vehicle,brands,ford",27,283,0.09540636042402827,0.22761088993445128
343,"jobs,,,education,education,colleges,,,universities",7,277,0.02527075812274368,0.22278521735633572
18,"autos,,,vehicles,campers,,,rvs",0,272,0.0,0.2187638235412394
28,"autos,,,vehicles,vehicle,brands",1,235,0.00425531914893617,0.18900550930952667
350,"law,,,government,government,government,contracting,,,procurement",0,233,0.0,0.18739695178348817
377,"pets,,,animals,pets,dogs",0,224,0.0,0.18015844291631478
372,"people,,,society,seniors,,,retirement",1,205,0.004878048780487805,0.16487714641894882
411,"shopping,apparel",0,192,0.0,0.1544215224996984
34,"autos,,,vehicles,vehicle,brands,chrysler",0,187,0.0,0.1504001286846021
216,"games,gambling,lottery,,,sweepstakes",2,165,0.012121212121212121,0.1327059958981783
164,"finance,banking,savings,accounts",0,151,0.0,0.12144609321590863
267,"health,nutrition,vitamins,,,supplements",0,147,0.0,0.11822897816383159
244,"health,health,conditions,pain,management,headaches,,,migraines",2,144,0.013888888888888888,0.11581614187477379
473,"travel,bus,,,rail",0,136,0.0,0.1093819117706197
