,,conversion,click,cvr,click percentage of total data
4099,mountain view,92,3829,0.024027161138678504,3.079583383600756
230,atlanta,242,3710,0.06522911051212937,2.9838742108014635
2801,houston,166,2542,0.06530291109362707,2.044476615594965
1433,dallas,152,2301,0.06605823554976098,1.8506454337073228
1056,chicago,103,1649,0.0624620982413584,1.3262556802187637
3433,livingston,109,1151,0.0947002606429192,0.9257248562351711
3485,los angeles,65,1126,0.05772646536412078,0.9056178871596895
4937,portland,37,1050,0.035238095238095235,0.8444927011702257
4539,orlando,55,1044,0.05268199233716475,0.83966702859211
4266,new york,41,1039,0.03946102021174206,0.8356456347770137
1524,denver,49,948,0.05168776371308017,0.7624562673422608
3919,minneapolis,32,947,0.0337909186906019,0.7616519885792415
1008,charlotte,42,877,0.04789053591790194,0.7053524751678932
5342,san antonio,47,803,0.058530510585305104,0.6458358467044678
713,brooklyn,36,783,0.04597701149425287,0.6297502714440825
4765,philadelphia,52,780,0.06666666666666667,0.6273374351550247
3291,las vegas,42,754,0.05570291777188329,0.606426187316524
4773,phoenix,43,739,0.058186738836265225,0.5943620058712349
6388,washington,23,718,0.03203342618384401,0.5774721518478304
1157,cleveland,61,716,0.08519553072625698,0.5758635943217919
5313,sacramento,38,703,0.05405405405405406,0.5654079704025415
3841,miami,35,700,0.05,0.5629951341134838
190,arlington,39,682,0.05718475073313783,0.5485181163791369
5988,tampa,34,609,0.05582922824302135,0.4898057666787308
5469,seattle,31,597,0.051926298157453935,0.4801544215224997
1538,detroit,39,592,0.06587837837837837,0.4761330277074034
416,bellevue,21,568,0.03697183098591549,0.45683033739494106
1247,columbus,24,560,0.04285714285714286,0.450396107290787
2243,germantown,35,543,0.06445672191528545,0.4367233683194595
4481,oklahoma city,20,484,0.04132231404958678,0.38927092130132307
6156,tucson,27,452,0.059734513274336286,0.3635340008847066
703,bronx,34,439,0.0774487471526196,0.35307837696545624
5355,san jose,67,427,0.15690866510538642,0.34342703180922507
5790,st louis,38,410,0.09268292682926829,0.32975429283789764
