,,conversion,click,cvr,click percentage of total data
12,12,477,8516,0.05601221230624706,6.849237945872039
14,14,471,8354,0.05638017716064161,6.718944786262919
11,11,494,8346,0.059190031152647975,6.712510556158764
13,13,439,8338,0.052650515711201724,6.70607632605461
10,10,444,8178,0.05429200293470286,6.577391723971529
9,9,448,7682,0.058318146316063524,6.178469457513974
15,15,436,7672,0.05683003128258603,6.170426669883781
16,16,434,7173,0.06050467029137042,5.76909156713717
8,8,342,6718,0.05090800833581423,5.403144729963405
17,17,374,5846,0.06397536777283613,4.701813648610608
18,18,397,5660,0.07014134275618375,4.552217798689026
19,19,290,5185,0.055930568948891035,4.170185386254876
7,7,256,4897,0.0522769042270778,3.938553102505328
21,21,321,4845,0.06625386996904024,3.896730606828327
20,20,356,4822,0.07382828701783492,3.8782321952788834
22,22,235,4285,0.05484247374562427,3.44633449953754
23,23,156,3342,0.0466786355475763,2.6878996260103754
6,6,179,3119,0.05739018916319333,2.5085454618570795
0,0,161,2733,0.05890962312477131,2.198093859331644
5,5,129,2114,0.061021759697256386,1.7002453050227209
1,1,132,1980,0.06666666666666667,1.5924719507781397
4,4,127,1592,0.07977386934673367,1.2804117907266659
2,2,104,1516,0.06860158311345646,1.219286604737202
3,3,99,1422,0.06962025316455696,1.1436844010133913
