,,conversion,click,cvr,click percentage of total data
557,7922,1125,19114,0.05885738202364759,15.372984276350182
481,7018,700,11389,0.06146281499692686,9.159930832026381
1663,21928,545,8241,0.0661327508797476,6.628061286041742
1727,22394,577,7691,0.07502275386815759,6.185707966381148
1530,20057,494,6480,0.07623456790123456,5.211726384364821
80,701,263,4982,0.0527900441589723,4.006916797361966
1536,20115,332,4976,0.06672025723472669,4.00209112478385
1777,22773,252,4559,0.05527527966659355,3.6667068806048175
49,209,239,4214,0.0567157095396298,3.389230707363172
1136,15169,90,3805,0.023653088042049936,3.0602806932882936
610,10507,238,3564,0.06677890011223345,2.8664495114006514
627,10796,163,2662,0.06123215627347859,2.140990067157277
2496,33363,150,2563,0.05852516582130316,2.0613664696183696
372,5650,134,2366,0.0566356720202874,1.9029235533035749
727,11427,128,2095,0.06109785202863962,1.684964008525355
1523,20001,132,2095,0.06300715990453461,1.684964008525355
409,6128,96,1987,0.04831404126824358,1.5981019021192744
726,11426,113,1787,0.06323447118074986,1.437246149515422
714,11351,105,1555,0.06752411575562701,1.2506534764949533
482,7029,68,1241,0.0547945205479452,0.9981099449069047
1408,19108,82,1202,0.06821963394342762,0.9667430731491535
2219,30036,47,879,0.053469852104664393,0.7069610326939317
873,12271,35,666,0.052552552552552555,0.5356496561708288
465,6621,39,581,0.06712564543889846,0.46728596131419153
841,12083,39,564,0.06914893617021277,0.453613222342864
734,11492,26,449,0.05790645879732739,0.36112116459564886
1175,16509,0,424,0.0,0.34101419552016726
463,6614,36,348,0.10344827586206896,0.27988900953070334
497,7155,25,335,0.07462686567164178,0.2694333856114529
311,4181,15,313,0.04792332268370607,0.2517392528250291
2517,33588,16,308,0.05194805194805195,0.24771785900993284
242,3356,20,263,0.07604562737642585,0.21152531467406605
414,6181,16,258,0.06201550387596899,0.2075039208589697
262,3549,9,244,0.036885245901639344,0.19624401817670006
45,174,8,242,0.03305785123966942,0.19463546065066153
996,14061,10,228,0.043859649122807015,0.18337555796839186
2139,27364,24,224,0.10714285714285714,0.18015844291631478
691,11232,6,222,0.02702702702702703,0.17854988539027628
2889,46690,2,191,0.010471204188481676,0.15361724373667915
1652,21837,1,189,0.005291005291005291,0.15200868621064062
721,11404,12,184,0.06521739130434782,0.14798729239554428
284,3737,1,166,0.006024096385542169,0.13351027466119758
712,11343,0,161,0.0,0.12948888084610127
1187,16591,7,159,0.0440251572327044,0.12788032332006274
442,6389,5,153,0.032679738562091505,0.12305465074194716
983,13977,4,152,0.02631578947368421,0.1222503719789279
697,11272,14,149,0.09395973154362416,0.11983753568987011
75,665,2,141,0.014184397163120567,0.113403305585716
403,6079,1,139,0.007194244604316547,0.11179474805967748
1749,22561,10,136,0.07352941176470588,0.1093819117706197
571,8047,13,135,0.0962962962962963,0.10857763300760044
770,11686,12,115,0.10434782608695652,0.0924920577472152
30,81,6,115,0.05217391304347826,0.0924920577472152
1063,14615,7,109,0.06422018348623854,0.08766638516909961
527,7459,8,106,0.07547169811320754,0.08525354888004182
787,11776,4,105,0.0380952380952381,0.08444927011702255
2663,36692,0,103,0.0,0.08284071259098404
907,13490,1,99,0.010101010101010102,0.07962359753890698
219,2828,3,93,0.03225806451612903,0.0747979249607914
0,0,1,93,0.010752688172043012,0.0747979249607914
2165,28939,45,93,0.4838709677419355,0.0747979249607914
352,4922,4,88,0.045454545454545456,0.0707765311456951
189,2152,2,87,0.022988505747126436,0.06997225238267583
3270,198605,1,87,0.011494252873563218,0.06997225238267583
1824,23089,6,86,0.06976744186046512,0.06916797361965657
2604,36149,8,84,0.09523809523809523,0.06755941609361804
364,5056,10,83,0.12048192771084337,0.06675513733059879
1607,21565,5,83,0.060240963855421686,0.06675513733059879
446,6461,5,80,0.0625,0.064342301041541
2064,26827,1,73,0.0136986301369863,0.05871234970040617
53,237,6,72,0.08333333333333333,0.057908070937386896
2916,46887,0,72,0.0,0.057908070937386896
194,2386,5,71,0.07042253521126761,0.05710379217436763
212,2711,2,70,0.02857142857142857,0.056299513411348374
429,6300,3,64,0.046875,0.051473840833232795
272,3651,2,63,0.031746031746031744,0.05066956207021354
1066,14654,4,61,0.06557377049180328,0.049061004544175016
1653,21852,4,61,0.06557377049180328,0.049061004544175016
50,210,7,61,0.11475409836065574,0.049061004544175016
1298,17306,0,60,0.0,0.048256725781155745
255,3464,3,60,0.05,0.048256725781155745
818,11976,4,60,0.06666666666666667,0.048256725781155745
3009,53889,5,60,0.08333333333333333,0.048256725781155745
1369,18812,8,58,0.13793103448275862,0.04664816825511722
793,11796,8,57,0.14035087719298245,0.045843889492097965
2282,30600,9,56,0.16071428571428573,0.045039610729078694
82,721,0,55,0.0,0.04423533196605944
1760,22646,5,54,0.09259259259259259,0.04343105320304018
2395,32448,2,53,0.03773584905660377,0.04262677444002091
1026,14265,0,52,0.0,0.04182249567700165
2728,40285,5,52,0.09615384615384616,0.04182249567700165
258,3480,2,51,0.0392156862745098,0.041018216913982386
2548,33749,0,51,0.0,0.041018216913982386
192,2381,3,50,0.06,0.04021393815096312
2976,53508,6,50,0.12,0.04021393815096312
951,13787,2,49,0.04081632653061224,0.03940965938794386
523,7385,4,49,0.08163265306122448,0.03940965938794386
843,12097,1,49,0.02040816326530612,0.03940965938794386
1770,22742,6,48,0.125,0.0386053806249246
1180,16527,3,45,0.06666666666666667,0.036192544335866814
584,9009,3,45,0.06666666666666667,0.036192544335866814
558,7925,1,44,0.022727272727272728,0.03538826557284755
360,5009,9,44,0.20454545454545456,0.03538826557284755
1580,20412,4,43,0.09302325581395349,0.034583986809828285
631,10838,3,42,0.07142857142857142,0.03377970804680902
995,14051,2,42,0.047619047619047616,0.03377970804680902
577,8103,2,42,0.047619047619047616,0.03377970804680902
201,2572,4,42,0.09523809523809523,0.03377970804680902
542,7795,0,40,0.0,0.0321711505207705
944,13760,5,38,0.13157894736842105,0.030562592994731973
3196,62943,4,37,0.10810810810810811,0.029758314231712713
605,10430,0,37,0.0,0.029758314231712713
408,6122,1,37,0.02702702702702703,0.029758314231712713
1038,14371,3,36,0.08333333333333333,0.028954035468693448
1628,21704,2,36,0.05555555555555555,0.028954035468693448
1553,20257,2,36,0.05555555555555555,0.028954035468693448
2102,27026,1,35,0.02857142857142857,0.028149756705674187
2152,27471,0,34,0.0,0.027345477942654926
1273,17184,0,33,0.0,0.026541199179635665
3268,136255,2,32,0.0625,0.025736920416616398
3200,63008,0,31,0.0,0.024932641653597137
472,6939,1,31,0.03225806451612903,0.024932641653597137
2071,26854,0,31,0.0,0.024932641653597137
539,7782,3,31,0.0967741935483871,0.024932641653597137
576,8100,0,30,0.0,0.024128362890577872
2683,39832,0,30,0.0,0.024128362890577872
2576,35986,0,30,0.0,0.024128362890577872
2472,33154,6,29,0.20689655172413793,0.02332408412755861
2288,30641,2,29,0.06896551724137931,0.02332408412755861
2888,46687,1,29,0.034482758620689655,0.02332408412755861
1133,15130,0,29,0.0,0.02332408412755861
402,6075,0,28,0.0,0.022519805364539347
1678,22051,4,28,0.14285714285714285,0.022519805364539347
395,5972,0,28,0.0,0.022519805364539347
433,6325,0,28,0.0,0.022519805364539347
1636,21766,3,28,0.10714285714285714,0.022519805364539347
2454,32939,1,28,0.03571428571428571,0.022519805364539347
2084,26923,1,27,0.037037037037037035,0.02171552660152009
1977,26205,2,27,0.07407407407407407,0.02171552660152009
2854,46375,2,27,0.07407407407407407,0.02171552660152009
689,11215,2,27,0.07407407407407407,0.02171552660152009
916,13576,5,26,0.19230769230769232,0.020911247838500825
776,11714,5,26,0.19230769230769232,0.020911247838500825
636,10879,1,26,0.038461538461538464,0.020911247838500825
483,7046,0,26,0.0,0.020911247838500825
1441,19331,0,26,0.0,0.020911247838500825
247,3389,0,25,0.0,0.02010696907548156
2195,29894,3,25,0.12,0.02010696907548156
814,11955,0,24,0.0,0.0193026903124623
832,12035,0,24,0.0,0.0193026903124623
662,11090,1,24,0.041666666666666664,0.0193026903124623
763,11650,2,24,0.08333333333333333,0.0193026903124623
76,668,0,24,0.0,0.0193026903124623
1128,15108,0,24,0.0,0.0193026903124623
477,7011,0,24,0.0,0.0193026903124623
1223,16863,2,24,0.08333333333333333,0.0193026903124623
1202,16700,1,24,0.041666666666666664,0.0193026903124623
492,7106,0,24,0.0,0.0193026903124623
911,13536,0,23,0.0,0.018498411549443036
1924,25853,0,23,0.0,0.018498411549443036
2973,53488,1,23,0.043478260869565216,0.018498411549443036
1631,21725,0,23,0.0,0.018498411549443036
1354,18712,1,23,0.043478260869565216,0.018498411549443036
386,5742,1,23,0.043478260869565216,0.018498411549443036
1856,23404,1,23,0.043478260869565216,0.018498411549443036
1028,14291,1,23,0.043478260869565216,0.018498411549443036
2629,36351,0,23,0.0,0.018498411549443036
1064,14618,0,23,0.0,0.018498411549443036
2411,32592,2,23,0.08695652173913043,0.018498411549443036
181,1998,0,22,0.0,0.017694132786423775
2105,27064,0,22,0.0,0.017694132786423775
1766,22709,0,22,0.0,0.017694132786423775
290,3801,2,22,0.09090909090909091,0.017694132786423775
2294,30678,0,22,0.0,0.017694132786423775
71,600,1,22,0.045454545454545456,0.017694132786423775
2780,40749,1,22,0.045454545454545456,0.017694132786423775
890,13368,2,22,0.09090909090909091,0.017694132786423775
2377,32307,4,21,0.19047619047619047,0.01688985402340451
88,1226,2,21,0.09523809523809523,0.01688985402340451
3258,63949,1,21,0.047619047619047616,0.01688985402340451
2707,40127,0,21,0.0,0.01688985402340451
2876,46562,0,21,0.0,0.01688985402340451
1010,14155,0,21,0.0,0.01688985402340451
934,13693,4,20,0.2,0.01608557526038525
1931,25921,1,20,0.05,0.01608557526038525
2467,33132,2,20,0.1,0.01608557526038525
2949,53250,1,20,0.05,0.01608557526038525
1604,21547,0,20,0.0,0.01608557526038525
1829,23118,2,20,0.1,0.01608557526038525
490,7086,1,19,0.05263157894736842,0.015281296497365987
1864,23465,0,19,0.0,0.015281296497365987
1963,26077,0,19,0.0,0.015281296497365987
382,5723,0,19,0.0,0.015281296497365987
168,1761,2,19,0.10526315789473684,0.015281296497365987
90,1239,1,19,0.05263157894736842,0.015281296497365987
1732,22442,0,19,0.0,0.015281296497365987
47,196,0,19,0.0,0.015281296497365987
2552,34825,2,19,0.10526315789473684,0.015281296497365987
309,4152,3,19,0.15789473684210525,0.015281296497365987
1055,14543,2,19,0.10526315789473684,0.015281296497365987
831,12033,0,19,0.0,0.015281296497365987
2922,46930,0,19,0.0,0.015281296497365987
1126,15093,2,19,0.10526315789473684,0.015281296497365987
456,6559,0,18,0.0,0.014477017734346724
1229,16904,0,18,0.0,0.014477017734346724
568,8025,0,18,0.0,0.014477017734346724
1436,19271,0,18,0.0,0.014477017734346724
3079,54665,1,18,0.05555555555555555,0.014477017734346724
2685,39939,0,18,0.0,0.014477017734346724
2431,32780,0,18,0.0,0.014477017734346724
2054,26801,4,18,0.2222222222222222,0.014477017734346724
1828,23100,0,18,0.0,0.014477017734346724
84,797,0,18,0.0,0.014477017734346724
108,1416,1,18,0.05555555555555555,0.014477017734346724
1927,25899,1,18,0.05555555555555555,0.014477017734346724
834,12042,0,18,0.0,0.014477017734346724
1166,16433,0,18,0.0,0.014477017734346724
1151,15305,3,18,0.16666666666666666,0.014477017734346724
882,13333,2,18,0.1111111111111111,0.014477017734346724
1421,19201,0,17,0.0,0.013672738971327463
2283,30612,1,17,0.058823529411764705,0.013672738971327463
3277,393238,0,17,0.0,0.013672738971327463
3160,62642,1,17,0.058823529411764705,0.013672738971327463
3139,60068,0,17,0.0,0.013672738971327463
2965,53435,0,17,0.0,0.013672738971327463
2775,40702,0,17,0.0,0.013672738971327463
301,3999,0,17,0.0,0.013672738971327463
2596,36103,0,17,0.0,0.013672738971327463
459,6580,0,17,0.0,0.013672738971327463
2259,30404,0,17,0.0,0.013672738971327463
1232,16928,0,17,0.0,0.013672738971327463
933,13692,0,17,0.0,0.013672738971327463
365,5078,0,17,0.0,0.013672738971327463
2018,26504,1,17,0.058823529411764705,0.013672738971327463
1989,26292,2,17,0.11764705882352941,0.013672738971327463
658,11062,2,17,0.11764705882352941,0.013672738971327463
1717,22324,0,17,0.0,0.013672738971327463
1642,21789,1,17,0.058823529411764705,0.013672738971327463
1640,21782,0,17,0.0,0.013672738971327463
1207,16717,4,17,0.23529411764705882,0.013672738971327463
244,3379,0,17,0.0,0.013672738971327463
1779,22792,2,17,0.11764705882352941,0.013672738971327463
67,557,0,17,0.0,0.013672738971327463
2474,33167,0,16,0.0,0.012868460208308199
191,2379,0,16,0.0,0.012868460208308199
390,5774,1,16,0.0625,0.012868460208308199
1462,19530,2,16,0.125,0.012868460208308199
1135,15164,1,16,0.0625,0.012868460208308199
274,3663,0,16,0.0,0.012868460208308199
291,3826,0,16,0.0,0.012868460208308199
1381,18886,1,16,0.0625,0.012868460208308199
2306,31777,2,16,0.125,0.012868460208308199
582,8148,0,16,0.0,0.012868460208308199
1324,18494,2,16,0.125,0.012868460208308199
1667,21947,0,16,0.0,0.012868460208308199
2235,30193,0,16,0.0,0.012868460208308199
3261,64242,0,16,0.0,0.012868460208308199
749,11550,2,16,0.125,0.012868460208308199
2257,30383,0,16,0.0,0.012868460208308199
1625,21688,0,16,0.0,0.012868460208308199
2874,46543,0,15,0.0,0.012064181445288936
