,,conversion,click,cvr,click percentage of total data
5,ca,761,14586,0.05217331687919923,11.731210037398961
45,tx,777,12167,0.06386126407495685,9.785659709655366
10,fl,520,9480,0.05485232067510549,7.6245626734226075
11,ga,499,7028,0.07100170745589073,5.652471146499376
36,ny,331,6092,0.05433355219960604,4.899666224313346
15,il,261,4631,0.05635931764197798,3.7246149515422045
28,nc,245,4467,0.054846653234833224,3.592713234407045
32,nj,275,4322,0.06362795002313744,3.476092813769253
40,pa,254,4320,0.0587962962962963,3.474484256243214
37,oh,233,4179,0.055754965302704,3.3610809506574983
23,mi,165,3386,0.048730064973419966,2.723287891583223
47,va,171,3359,0.05090800833581423,2.7015723649817023
21,md,144,2842,0.050668543279380716,2.285760244500744
4,az,159,2811,0.05656350053361793,2.260827602847147
44,tn,184,2762,0.0666183924692252,2.221417943459203
50,wa,163,2663,0.061209162598573036,2.141794345920296
24,mn,95,2318,0.040983606557377046,1.8643181726786504
6,co,118,2262,0.052166224580017684,1.8192785619495717
20,ma,105,2129,0.04931892907468295,1.7123094864680097
25,mo,156,1957,0.0797138477261114,1.5739735392286969
39,or,93,1938,0.047987616099071206,1.5586922427313308
51,wi,84,1801,0.046640755136035536,1.4485060521976918
2,al,126,1771,0.07114624505928854,1.4243776893071138
16,in,135,1736,0.07776497695852534,1.3962279326014397
42,sc,90,1531,0.05878510777269758,1.2313507861824908
38,ok,82,1502,0.05459387483355526,1.2080267020549322
18,ky,123,1356,0.09070796460176991,1.0906020026541199
19,la,120,1293,0.09280742459396751,1.0399324405839063
13,ia,60,1193,0.050293378038558254,0.95950456428198
7,ct,57,1182,0.048223350253807105,0.9506574978887683
35,nv,64,1141,0.056091148115687994,0.9176820686049785
17,ks,58,925,0.0627027027027027,0.7439578557928178
46,ut,57,909,0.0627062706270627,0.7310893955845096
26,ms,91,838,0.10859188544152745,0.6739856034101419
3,ar,54,808,0.06683168316831684,0.6498572405195641
30,ne,33,719,0.0458970792767733,0.5782764306108498
33,nm,52,646,0.0804953560371517,0.5195640809104436
8,dc,18,642,0.028037383177570093,0.5163469658583666
52,wv,50,605,0.08264462809917356,0.4865886516266538
12,hi,34,522,0.06513409961685823,0.419833514296055
31,nh,36,506,0.07114624505928854,0.4069650540877468
22,me,11,506,0.021739130434782608,0.4069650540877468
14,id,21,458,0.04585152838427948,0.3683596734628222
9,de,30,354,0.0847457627118644,0.28471468210881895
41,ri,19,314,0.06050955414012739,0.2525435315880484
27,mt,19,312,0.060897435897435896,0.2509349740620099
1,ak,24,272,0.08823529411764706,0.2187638235412394
43,sd,12,228,0.05263157894736842,0.18337555796839186
29,nd,14,221,0.06334841628959276,0.177745606627257
49,vt,11,188,0.05851063829787234,0.15120440744762134
53,wy,7,151,0.046357615894039736,0.12144609321590863
54,xx,0,2,0.0,0.0016085575260385248
34,nsw,0,2,0.0,0.0016085575260385248
48,vic,0,1,0.0,0.0008042787630192624
0,",",0,1,0.0,0.0008042787630192624
