,,conversion,click,cvr,click percentage of total data
20,8PRHGG6T9,4214,63147,0.0667331781398958,50.78779104837737
17,7PRFT79UO,2478,24630,0.10060901339829477,19.80938593316443
23,8PRVV7640,255,21750,0.011724137931034483,17.49306309566896
22,8PRVCXX19,66,2809,0.023495906016375936,2.259219045321108
21,8PRN625DH,74,1956,0.03783231083844581,1.5731692604656775
4,1PR5B8B3H,2,1274,0.0015698587127158557,1.0246511440865405
9,5PR175S3K,4,979,0.0040858018386108275,0.7873889089958579
11,5PR66BB79,1,697,0.0014347202295552368,0.5605822978244259
19,8PR634MLX,127,623,0.20385232744783308,0.5010656693610005
7,2PRU0TJND,3,317,0.00946372239747634,0.2549563678771062
8,5PR03ECU9,1,219,0.0045662100456621,0.1761370491012185
18,8PR2A8D53,10,153,0.06535947712418301,0.12305465074194716
6,1PRWL8A51,5,99,0.050505050505050504,0.07962359753890698
5,1PRC67H4P,1,83,0.012048192771084338,0.06675513733059879
14,7PR2IPF7I,3,23,0.13043478260869565,0.018498411549443036
0,1PR1HKPYG,0,19,0.0,0.015281296497365987
3,1PR5471QF,0,9,0.0,0.007238508867173362
13,5PRV6KJ7G,0,3,0.0,0.0024128362890577875
16,7PR7HS7AK,0,2,0.0,0.0016085575260385248
1,1PR2936L0,0,2,0.0,0.0016085575260385248
15,7PR547C50,0,1,0.0,0.0008042787630192624
10,5PR38W3XP,0,1,0.0,0.0008042787630192624
2,1PR51K55T,1,1,1.0,0.0008042787630192624
12,5PRAF715L,0,1,0.0,0.0008042787630192624
