,,conversion,click,cvr,click percentage of total data
917,8CUSCPEVZ,1249,13128,0.09514015843997563,10.558571600916878
934,8CUT3713E,1701,8983,0.18935767560948458,7.224836128202035
496,8CU8LL3QL,187,8315,0.02248947684906795,6.687577914505168
400,8CU72YM44,105,6986,0.01503006012024048,5.618691438452568
648,8CUF3C1U9,296,6585,0.04495064540622627,5.296175654481843
600,8CUDBHC38,53,5196,0.010200153964588145,4.179032452648087
607,8CUDMGV55,645,3190,0.20219435736677116,2.5656492540314475
93,8CU1CBY9H,67,2734,0.024506217995610827,2.1988981380946635
574,8CUC1760V,6,2481,0.0024183796856106408,1.9954156110507901
168,8CU2T3HV4,63,2466,0.025547445255474453,1.9833514296055015
478,8CU8931J9,138,2202,0.06267029972752043,1.7710218361684158
1110,9CUGR5N0J,23,2183,0.010535959688502062,1.75574053967105
827,8CUN816G1,10,1993,0.005017561465127948,1.6029275746973901
960,8CUU526O6,149,1834,0.0812431842966194,1.4750472513773274
1032,8CUX8874N,0,1774,0.0,1.4267905255961717
292,8CU52CY9R,13,1723,0.0075449796865931515,1.3857723086821891
635,8CUEJU9TP,0,1420,0.0,1.1420758434873528
1085,9CU21CCRQ,11,1385,0.007942238267148015,1.1139260867816785
627,8CUE7PKH3,12,1363,0.00880410858400587,1.0962319539952547
935,8CUT4F6W5,31,1344,0.023065476190476192,1.0809506574978887
0,1CU3PR8KH,2,1274,0.0015698587127158557,1.0246511440865405
42,7CUQZX8H7,1,1174,0.0008517887563884157,0.9442232677846142
386,8CU6R5O48,60,1136,0.0528169014084507,0.9136606747898821
69,8CU13T117,77,1045,0.07368421052631578,0.8404713073551293
890,8CUR26J77,315,995,0.3165829145728643,0.8002573692041662
14,5CUBD79X6,4,979,0.0040858018386108275,0.7873889089958579
848,8CUP31214,15,962,0.015592515592515593,0.7737161700245304
115,8CU1Z2012,131,920,0.1423913043478261,0.7399364619777216
453,8CU82U19C,349,919,0.3797606093579978,0.7391321832147022
445,8CU7VHYN6,140,903,0.15503875968992248,0.726263723006394
663,8CUG12UJY,93,884,0.10520361990950226,0.710982426509028
604,8CUDFMW02,40,870,0.04597701149425287,0.6997225238267584
711,8CUI4S976,8,870,0.009195402298850575,0.6997225238267584
866,8CUPRJ7NQ,18,856,0.02102803738317757,0.6884626211444886
1073,8CUYY34Z1,10,811,0.012330456226880395,0.6522700768086219
858,8CUPC5YIU,94,785,0.1197452229299363,0.6313588289701211
12,5CU52B37N,1,697,0.0014347202295552368,0.5605822978244259
1123,9CURLPO34,8,646,0.01238390092879257,0.5195640809104436
315,8CU5F4US8,8,626,0.012779552715654952,0.5034785056500583
124,8CU222F1E,1,608,0.001644736842105263,0.4890014879157116
449,8CU7WYJ34,1,596,0.0016778523489932886,0.47935014275948046
374,8CU6HDGYE,32,583,0.0548885077186964,0.46889451884023003
1055,8CUY7WC2U,23,558,0.04121863799283154,0.44878754976474844
