,,conversion,click,cvr,click percentage of total data
1867,8POU15TMJ,544,6400,0.085,5.14738408332328
1308,8POH1Y793,493,5025,0.09810945273631841,4.041500784171794
1354,8POI58K3U,26,4070,0.0063882063882063885,3.273414565488398
148,8PO1W66UO,624,3093,0.2017458777885548,2.4876342140185788
211,8PO284T7W,96,2539,0.03781016148089799,2.0420637793059075
2151,9PO844006,23,2183,0.010535959688502062,1.75574053967105
967,8PO9161TR,42,2139,0.019635343618513323,1.7203522740982025
473,8PO4J71H8,30,1997,0.015022533800701052,1.6061446897494673
401,8PO4091KH,33,1912,0.017259414225941423,1.5377809948928298
403,8PO410V8R,398,1772,0.22460496613995484,1.4251819680701332
501,8PO4X3YG2,0,1762,0.0,1.4171391804399405
798,8PO7C8L20,111,1760,0.06306818181818181,1.415530622913902
1727,8POQZCIV8,5,1589,0.0031466331025802393,1.277998954437608
1864,8POTY2166,26,1559,0.01667735728030789,1.2538705915470303
1750,8POR8AIII,11,1494,0.007362784471218206,1.2015924719507782
752,8PO72DG4E,56,1359,0.041206769683590876,1.0930148389431777
552,8PO5725J6,6,1283,0.004676539360872954,1.0318896529537138
278,8PO2W0LBK,58,1233,0.047039740470397405,0.9916757148027507
163,8PO215QPL,0,1208,0.0,0.971568745727269
1452,8POK567P3,53,1149,0.04612706701479547,0.9241162987091326
1299,8POGPPJRN,60,1127,0.05323868677905945,0.9064221659227089
588,8PO5J4I8N,172,1104,0.15579710144927536,0.8879237543732658
492,8PO4SWXF9,223,1089,0.20477502295684114,0.8758595729279768
2128,9PO23QL58,10,1049,0.009532888465204958,0.8436884224072063
431,8PO461AGB,142,1030,0.1378640776699029,0.8284071259098403
52,8PO122HJB,119,986,0.1206896551724138,0.7930188603369928
2121,9PO15G66M,0,969,0.0,0.7793461213656654
1738,8POR4PPV8,304,961,0.31633714880332986,0.7729118912615112
348,8PO3B53I1,28,943,0.029692470837751856,0.7584348735271645
1104,8POC8PE4E,140,899,0.1557285873192436,0.723046607954317
2054,8POY60ADP,236,837,0.2819593787335723,0.6731813246471227
1713,8POQB92BD,10,811,0.012330456226880395,0.6522700768086219
273,8PO2U6G75,38,788,0.048223350253807105,0.6337716652591788
1073,8POBN1H2H,20,764,0.02617801047120419,0.6144689749467166
1688,8POPT2126,106,762,0.13910761154855644,0.612860417420678
786,8PO785XFJ,4,746,0.005361930294906166,0.5999919572123699
1925,8POV1VO77,93,716,0.12988826815642457,0.5758635943217919
2034,8POXTV98U,24,694,0.0345821325648415,0.5581694615353682
430,8PO453U38,0,685,0.0,0.5509309526681948
1956,8POVY7K42,1,678,0.0014749262536873156,0.5453010013270599
271,8PO2TFMA4,39,657,0.0593607305936073,0.5284111473036555
2163,9POHGK5Y8,8,646,0.01238390092879257,0.5195640809104436
1726,8POQX95BC,86,630,0.1365079365079365,0.5066956207021354
583,8PO5G4DM0,3,627,0.004784688995215311,0.5042827844130775
354,8PO3CU904,18,617,0.029173419773095625,0.49623999678288494
1417,8POJH252W,9,588,0.015306122448979591,0.47291591265532634
218,8PO29GXU2,2,587,0.0034071550255536627,0.4721116338923071
158,8PO1Z3J26,1,570,0.0017543859649122807,0.45843889492097956
992,8PO99TQHE,17,559,0.03041144901610018,0.4495918285277677
2135,9PO403VZY,6,540,0.011111111111111112,0.43431053203040176
1596,8PONT4M7X,4,529,0.007561436672967864,0.4254634656371899
2190,9POWXXJ33,2,504,0.003968253968253968,0.4053564965617083
958,8PO8U1W3Y,6,502,0.01195219123505976,0.40374793903566975
2074,8POYLTCQ9,27,497,0.05432595573440644,0.39972654522057344
18,5POJ5651L,0,487,0.0,0.3916837575903808
1107,8POCAF8C0,93,473,0.19661733615221988,0.38042385490811115
1027,8POA471OF,42,469,0.08955223880597014,0.3772067398560341
326,8PO37XDDS,53,457,0.11597374179431072,0.367555394699803
1993,8POWMK28K,42,456,0.09210526315789473,0.3667511159367837
1980,8POW9B67E,1,451,0.0022172949002217295,0.36272972212168736
1745,8POR6J07D,16,450,0.035555555555555556,0.3619254433586681
768,8PO75U5YN,14,449,0.031180400890868598,0.36112116459564886
1876,8POU44QK2,7,442,0.01583710407239819,0.355491213254514
1624,8POOD2F1K,27,442,0.06108597285067873,0.355491213254514
399,8PO402401,5,430,0.011627906976744186,0.3458398680982829
781,8PO77U483,5,414,0.012077294685990338,0.33297140788997465
923,8PO8F1B04,6,395,0.015189873417721518,0.31769011139260867
506,8PO503VI8,33,389,0.08483290488431877,0.3128644388144931
1939,8POVC05N8,9,388,0.023195876288659795,0.31206016005147386
270,8PO2TCIB4,23,383,0.06005221932114883,0.30803876623637755
766,8PO74ZUT9,46,381,0.12073490813648294,0.306430208710339
1906,8POUL34E8,6,374,0.016042780748663103,0.3008002573692042
842,8PO7URKYU,60,356,0.16853932584269662,0.28632323963485745
1002,8PO9K8W97,146,352,0.4147727272727273,0.2831061245827804
1266,8POG45V87,5,349,0.014326647564469915,0.28069328829372264
2011,8POXC0P7G,19,347,0.05475504322766571,0.2790847307676841
1889,8POU8CDF0,1,346,0.002890173410404624,0.27828045200466484
2153,9PO8N60MO,1,336,0.002976190476190476,0.27023766437447216
522,8PO52R8L8,7,329,0.02127659574468085,0.26460771303333736
388,8PO3S327Q,61,328,0.18597560975609756,0.2638034342703181
1145,8POD3NCL1,8,328,0.024390243902439025,0.2638034342703181
111,8PO1H5NB2,27,327,0.08256880733944955,0.26299915550729885
1156,8POD9937P,1,318,0.0031446540880503146,0.2557606466401255
1206,8POEPJG4R,11,316,0.03481012658227848,0.25415208911408693
482,8PO4NH5EV,8,305,0.02622950819672131,0.24530502272087507
840,8PO7TFN74,12,301,0.03986710963455149,0.242087907668798
1121,8POCO28OD,1,298,0.003355704697986577,0.23967507137974023
1715,8POQCJ635,6,295,0.020338983050847456,0.23726223509068245
804,8PO7E828F,6,294,0.02040816326530612,0.23645795632766317
641,8PO63330B,8,279,0.02867383512544803,0.22439377488237422
1406,8POJ6X7QH,3,279,0.010752688172043012,0.22439377488237422
569,8PO59HTKM,11,277,0.039711191335740074,0.22278521735633572
2070,8POYI8JPK,12,272,0.04411764705882353,0.2187638235412394
1231,8POF87839,2,271,0.007380073800738007,0.21795954477822013
11,2PO5N5455,2,269,0.007434944237918215,0.2163509872521816
427,8PO44TS91,8,264,0.030303030303030304,0.21232959343708532
962,8PO8W62X7,1,263,0.0038022813688212928,0.21152531467406605
1049,8POB3JF0J,2,261,0.007662835249042145,0.2099167571480275
1950,8POVP41YT,87,249,0.3493975903614458,0.20026541199179634
1952,8POVT5JTB,0,246,0.0,0.19785257570273856
1737,8POR432NO,8,245,0.0326530612244898,0.19704829693971931
1454,8POK62331,85,244,0.3483606557377049,0.19624401817670006
950,8PO8QIM3K,1,243,0.00411522633744856,0.19543973941368079
1125,8POCQ5V5C,43,236,0.18220338983050846,0.18980978807254595
129,8PO1P4RL2,4,235,0.01702127659574468,0.18900550930952667
729,8PO6TMSL0,3,230,0.013043478260869565,0.1849841154944304
1169,8PODSYGW6,0,222,0.0,0.17854988539027628
564,8PO58R483,0,220,0.0,0.17694132786423775
1699,8POQ21F77,0,216,0.0,0.17372421281216072
905,8PO891L26,0,216,0.0,0.17372421281216072
800,8PO7CM2E4,0,216,0.0,0.17372421281216072
411,8PO422XXX,0,212,0.0,0.17050709776008363
1466,8POKDM39P,58,212,0.27358490566037735,0.17050709776008363
1887,8POU7YCA9,45,212,0.21226415094339623,0.17050709776008363
20,5POL4F2O4,1,207,0.004830917874396135,0.16648570394498732
15,5PO84Q269,0,206,0.0,0.16568142518196807
1300,8POGQF20Y,0,203,0.0,0.1632685888929103
1118,8POCKLW4S,4,202,0.019801980198019802,0.16246431012989102
108,8PO1GXOI3,6,195,0.03076923076923077,0.15683435878875618
1601,8POO13YH6,25,194,0.12886597938144329,0.15603008002573693
1067,8POBG3346,2,192,0.010416666666666666,0.1544215224996984
887,8PO861X44,2,191,0.010471204188481676,0.15361724373667915
1144,8POD34HUT,1,188,0.005319148936170213,0.15120440744762134
1426,8POJM3F36,2,186,0.010752688172043012,0.1495958499215828
442,8PO48863Q,15,185,0.08108108108108109,0.14879157115856356
447,8PO49N4U5,22,184,0.11956521739130435,0.14798729239554428
2179,9POOA31OJ,1,184,0.005434782608695652,0.14798729239554428
1386,8POISKY1P,9,184,0.04891304347826087,0.14798729239554428
760,8PO73S5FI,4,182,0.02197802197802198,0.14637873486950576
1616,8POO87A8W,3,182,0.016483516483516484,0.14637873486950576
241,8PO2JNEP5,2,180,0.011111111111111112,0.14477017734346725
1644,8POOT9631,19,179,0.10614525139664804,0.14396589858044798
113,8PO1HA156,0,178,0.0,0.14316161981742873
1389,8POIW697H,1,178,0.0056179775280898875,0.14316161981742873
1576,8PON6MM57,0,175,0.0,0.14074878352837095
1868,8POU16375,10,173,0.057803468208092484,0.13914022600233242
1899,8POUCYQH2,2,173,0.011560693641618497,0.13914022600233242
1068,8POBGR6SE,5,171,0.029239766081871343,0.1375316684762939
540,8PO557KI0,14,170,0.08235294117647059,0.1367273897132746
159,8PO20B68D,30,169,0.17751479289940827,0.13592311095025536
1150,8POD6434Z,0,168,0.0,0.13511883218723608
371,8PO3IZLHC,4,164,0.024390243902439025,0.13190171713515905
389,8PO3SEFM1,2,163,0.012269938650306749,0.13109743837213977
1711,8POQ83L6Q,1,163,0.006134969325153374,0.13109743837213977
71,8PO16P22B,3,162,0.018518518518518517,0.13029315960912052
1666,8POP73KU7,4,160,0.025,0.128684602083082
1558,8POMW4635,45,159,0.2830188679245283,0.12788032332006274
1355,8POI648J9,19,155,0.12258064516129032,0.12466320826798567
2136,9PO4402G4,1,153,0.006535947712418301,0.12305465074194716
912,8PO8BF110,11,152,0.07236842105263158,0.1222503719789279
1589,8PONM497V,1,150,0.006666666666666667,0.12064181445288938
357,8PO3E8VIC,17,150,0.11333333333333333,0.12064181445288938
83,8PO1927UL,0,149,0.0,0.11983753568987011
759,8PO73I5BC,0,148,0.0,0.11903325692685085
1674,8POPCPCDV,20,146,0.136986301369863,0.11742469940081234
573,8PO5C78MG,2,145,0.013793103448275862,0.11662042063779307
183,8PO24H238,7,144,0.04861111111111111,0.11581614187477379
