,,conversion,click,cvr,click percentage of total data
2059,missing,147,11010,0.01335149863760218,8.85510918084208
613,353566216,88,5655,0.015561450044208665,4.548196404873929
426,273674690,475,5375,0.08837209302325581,4.322998351228536
2054,996881981,436,4466,0.09762651141961487,3.5919089556440262
532,323412615,28,4159,0.006732387593171436,3.3449953753971124
999,487801621,112,2989,0.03747072599531616,2.4039892226645754
15,110622874,550,2767,0.19877123238164077,2.2254393372742993
347,247883355,109,2508,0.04346092503987241,2.01713113765231
864,448455484,379,2207,0.17172632532850024,1.7750432299835122
1424,667303284,131,2106,0.06220322886989554,1.6938110749185669
1780,834666926,16,1776,0.009009009009009009,1.4283990831222102
905,456184085,5,1595,0.003134796238244514,1.2828246270157238
1914,888826448,126,1582,0.07964601769911504,1.2723690030964732
1882,874854543,427,1506,0.28353253652058436,1.2112438171070095
590,342174226,0,1332,0.0,1.0712993123416577
1122,546207553,21,1311,0.016018306636155607,1.054409458318253
930,464663428,6,1302,0.004608294930875576,1.0471709494510797
1824,853425544,223,1089,0.20477502295684114,0.8758595729279768
99,144003200,142,1030,0.1378640776699029,0.8284071259098403
684,379526522,9,1028,0.008754863813229572,0.8267985683838017
160,166007728,51,977,0.052200614124872056,0.7857803514698194
962,476681089,114,947,0.12038014783526928,0.7616519885792415
788,425783004,28,943,0.029692470837751856,0.7584348735271645
1865,867372707,131,920,0.1423913043478261,0.7399364619777216
1692,791264675,0,903,0.0,0.726263723006394
1061,525156657,140,903,0.15503875968992248,0.726263723006394
1777,833299467,40,870,0.04597701149425287,0.6997225238267584
339,245858415,18,868,0.020737327188940093,0.6981139663007199
503,311274725,27,856,0.03154205607476635,0.6884626211444886
1612,755806047,272,849,0.32037691401649,0.6828326698033538
1379,652764634,8,834,0.009592326139088728,0.6707684883580649
1003,489283227,33,813,0.04059040590405904,0.6538786343346604
1739,817594683,22,806,0.02729528535980149,0.6482486829935256
1921,893534832,20,766,0.02610966057441253,0.6160775324727551
444,279866245,61,736,0.08288043478260869,0.5919491695821771
1530,723137349,8,712,0.011235955056179775,0.5726464792697149
528,321455646,6,692,0.008670520231213872,0.5565609040093297
117,150554645,1,680,0.0014705882352941176,0.5469095588530984
1584,742648765,46,668,0.0688622754491018,0.5372582136968673
1213,580362548,3,634,0.00473186119873817,0.5099127357542124
635,358366353,86,630,0.1365079365079365,0.5066956207021354
165,168241417,28,626,0.04472843450479233,0.5034785056500583
923,462245342,14,619,0.022617124394184167,0.49784855430892344
182,173889085,2,594,0.003367003367003367,0.47774158523344196
622,355687228,6,587,0.010221465076660987,0.4721116338923071
649,363970981,0,564,0.0,0.453613222342864
1840,856826356,17,559,0.03041144901610018,0.4495918285277677
1435,673748718,79,511,0.15459882583170254,0.4109864479028431
230,194286610,14,509,0.0275049115913556,0.4093778903768046
657,365974822,9,506,0.017786561264822136,0.4069650540877468
855,446160483,7,506,0.01383399209486166,0.4069650540877468
673,375640427,0,495,0.0,0.39811798769453494
876,451184649,172,493,0.3488843813387424,0.3965094301684964
1503,713781290,42,469,0.08955223880597014,0.3772067398560341
1636,768153813,53,457,0.11597374179431072,0.367555394699803
1647,775159866,7,447,0.015659955257270694,0.3595126070696103
265,218487324,9,434,0.020737327188940093,0.34905698315035993
1434,673746228,46,429,0.10722610722610723,0.3450355893352636
1440,675267812,87,429,0.20279720279720279,0.3450355893352636
271,221812585,11,427,0.02576112412177986,0.34342703180922507
1850,861171142,2,422,0.004739336492890996,0.33940563799412876
1044,516600451,14,404,0.034653465346534656,0.32492862025978203
1185,567875254,7,402,0.017412935323383085,0.32332006273374353
237,198755372,1,383,0.0026109660574412533,0.30803876623637755
1778,834572682,14,383,0.03655352480417755,0.30803876623637755
407,267259664,1,377,0.002652519893899204,0.303213093658262
